question,answer,design_style
What kind of materials and colors do you imagine for the space?,I want a exposed brick walls and raw concrete surfaces that feels comfortable and well-designed.,industrial
Describe the feeling and atmosphere you want in the room.,I want a neutral colors with a focus on practicality that feels comfortable and well-designed.,modern
Describe your dream version of this room.,I want a bright space with lots of natural light and soft textiles that feels comfortable and well-designed.,scandinavian
How do you want the room to feel when someone walks in?,I want a farmhouse style with vintage decor that feels comfortable and well-designed.,rustic
How would you like the room to look after the redesign?,I want a neutral colors with a focus on practicality that feels comfortable and well-designed.,modern
Describe your dream version of this room.,I want a minimal furniture with sharp geometric shapes that feels comfortable and well-designed.,modern
How do you want the room to feel when someone walks in?,I want a cozy atmosphere with nostalgic elements that feels comfortable and well-designed.,rustic
Describe the feeling and atmosphere you want in the room.,I want a neutral colors with a focus on practicality that feels comfortable and well-designed.,modern
Describe the feeling and atmosphere you want in the room.,"I want a warm tones, pillows, and hanging greenery that feels comfortable and well-designed.",boho_chic
Describe your dream version of this room.,I want a handcrafted furniture and a homey feeling that feels comfortable and well-designed.,rustic
How do you want the room to feel when someone walks in?,I want a bright space with lots of natural light and soft textiles that feels comfortable and well-designed.,scandinavian
What kind of materials and colors do you imagine for the space?,I want a cozy atmosphere with nostalgic elements that feels comfortable and well-designed.,rustic
How do you want the room to feel when someone walks in?,I want a free-spirited style with mixed cultural elements that feels comfortable and well-designed.,boho_chic
How would you like the room to look after the redesign?,"I want a white walls, warm wood tones, and simple clean lines that feels comfortable and well-designed.",scandinavian
How would you like the room to look after the redesign?,I want a neutral colors with a focus on practicality that feels comfortable and well-designed.,modern
How do you want the room to feel when someone walks in?,"I want a warm tones, pillows, and hanging greenery that feels comfortable and well-designed.",boho_chic
How do you want the room to feel when someone walks in?,I want a glass and metal elements with a functional layout that feels comfortable and well-designed.,modern
What kind of materials and colors do you imagine for the space?,"I want a rich details, symmetry, and deep elegant colors that feels comfortable and well-designed.",classic
How would you like the room to look after the redesign?,I want a urban loft feeling with iron and wood that feels comfortable and well-designed.,industrial
Describe the feeling and atmosphere you want in the room.,I want a farmhouse style with vintage decor that feels comfortable and well-designed.,rustic
How would you like the room to look after the redesign?,"I want a white walls, warm wood tones, and simple clean lines that feels comfortable and well-designed.",scandinavian
What kind of materials and colors do you imagine for the space?,I want a exposed brick walls and raw concrete surfaces that feels comfortable and well-designed.,industrial
What kind of materials and colors do you imagine for the space?,I want a farmhouse style with vintage decor that feels comfortable and well-designed.,rustic
Describe the feeling and atmosphere you want in the room.,I want a metal frames and dark colors with a rough finish that feels comfortable and well-designed.,industrial
Describe the feeling and atmosphere you want in the room.,I want a sleek surfaces and a clutter-free design that feels comfortable and well-designed.,modern
What kind of materials and colors do you imagine for the space?,I want a minimal furniture with sharp geometric shapes that feels comfortable and well-designed.,modern
How would you like the room to look after the redesign?,I want a glass and metal elements with a functional layout that feels comfortable and well-designed.,modern
Describe the feeling and atmosphere you want in the room.,I want a cozy atmosphere with nostalgic elements that feels comfortable and well-designed.,rustic
What kind of materials and colors do you imagine for the space?,I want a unfinished textures and visible pipes that feels comfortable and well-designed.,industrial
What kind of materials and colors do you imagine for the space?,I want a glass and metal elements with a functional layout that feels comfortable and well-designed.,modern
How would you like the room to look after the redesign?,I want a sleek surfaces and a clutter-free design that feels comfortable and well-designed.,modern
Describe your dream version of this room.,I want a balanced layout with decorative moldings that feels comfortable and well-designed.,classic
Describe your dream version of this room.,I want a clean lines and a monochrome color palette that feels comfortable and well-designed.,modern
Describe your dream version of this room.,I want a rugged materials and bold industrial lighting that feels comfortable and well-designed.,industrial
Describe your dream version of this room.,"I want a soft rugs, pale colors, and an open uncluttered layout that feels comfortable and well-designed.",scandinavian
Describe your dream version of this room.,I want a soft lighting and warm wooden textures that feels comfortable and well-designed.,rustic
How do you want the room to feel when someone walks in?,I want a clean lines and a monochrome color palette that feels comfortable and well-designed.,modern
Describe the feeling and atmosphere you want in the room.,I want a glass and metal elements with a functional layout that feels comfortable and well-designed.,modern
How would you like the room to look after the redesign?,I want a rugged materials and bold industrial lighting that feels comfortable and well-designed.,industrial
How would you like the room to look after the redesign?,I want a rugged materials and bold industrial lighting that feels comfortable and well-designed.,industrial
How do you want the room to feel when someone walks in?,I want a metal frames and dark colors with a rough finish that feels comfortable and well-designed.,industrial
Describe the feeling and atmosphere you want in the room.,I want a neutral colors with a focus on practicality that feels comfortable and well-designed.,modern
How would you like the room to look after the redesign?,I want a glass and metal elements with a functional layout that feels comfortable and well-designed.,modern
How would you like the room to look after the redesign?,I want a exposed brick walls and raw concrete surfaces that feels comfortable and well-designed.,industrial
Describe the feeling and atmosphere you want in the room.,I want a clean lines and a monochrome color palette that feels comfortable and well-designed.,modern
How would you like the room to look after the redesign?,I want a clean lines and a monochrome color palette that feels comfortable and well-designed.,modern
How do you want the room to feel when someone walks in?,I want a farmhouse style with vintage decor that feels comfortable and well-designed.,rustic
Describe your dream version of this room.,I want a urban loft feeling with iron and wood that feels comfortable and well-designed.,industrial
Describe your dream version of this room.,I want a handcrafted furniture and a homey feeling that feels comfortable and well-designed.,rustic
What kind of materials and colors do you imagine for the space?,I want a minimal furniture with sharp geometric shapes that feels comfortable and well-designed.,modern
What kind of materials and colors do you imagine for the space?,I want a airy feeling with neutral colors and cozy fabrics that feels comfortable and well-designed.,scandinavian
Describe your dream version of this room.,I want a marble surfaces and solid wood furniture that feels comfortable and well-designed.,classic
How would you like the room to look after the redesign?,I want a exposed brick walls and raw concrete surfaces that feels comfortable and well-designed.,industrial
What kind of materials and colors do you imagine for the space?,I want a marble surfaces and solid wood furniture that feels comfortable and well-designed.,classic
How would you like the room to look after the redesign?,I want a farmhouse style with vintage decor that feels comfortable and well-designed.,rustic
Describe your dream version of this room.,"I want a warm tones, pillows, and hanging greenery that feels comfortable and well-designed.",boho_chic
What kind of materials and colors do you imagine for the space?,I want a traditional materials and refined finishes that feels comfortable and well-designed.,classic
How do you want the room to feel when someone walks in?,"I want a white walls, warm wood tones, and simple clean lines that feels comfortable and well-designed.",scandinavian
How would you like the room to look after the redesign?,I want a traditional materials and refined finishes that feels comfortable and well-designed.,classic
Describe the feeling and atmosphere you want in the room.,I want a natural wood and warm earthy colors that feels comfortable and well-designed.,rustic
How do you want the room to feel when someone walks in?,I want a eclectic mix of patterns and lots of plants that feels comfortable and well-designed.,boho_chic
How do you want the room to feel when someone walks in?,"I want a rich details, symmetry, and deep elegant colors that feels comfortable and well-designed.",classic
Describe your dream version of this room.,I want a balanced layout with decorative moldings that feels comfortable and well-designed.,classic
Describe your dream version of this room.,I want a metal frames and dark colors with a rough finish that feels comfortable and well-designed.,industrial
What kind of materials and colors do you imagine for the space?,I want a rich colors and layered ethnic textiles that feels comfortable and well-designed.,boho_chic
How would you like the room to look after the redesign?,I want a light wood furniture and minimal decoration that feels comfortable and well-designed.,scandinavian
Describe your dream version of this room.,I want a glass and metal elements with a functional layout that feels comfortable and well-designed.,modern
How would you like the room to look after the redesign?,"I want a white walls, warm wood tones, and simple clean lines that feels comfortable and well-designed.",scandinavian
Describe the feeling and atmosphere you want in the room.,I want a rich colors and layered ethnic textiles that feels comfortable and well-designed.,boho_chic
What kind of materials and colors do you imagine for the space?,I want a eclectic mix of patterns and lots of plants that feels comfortable and well-designed.,boho_chic
How do you want the room to feel when someone walks in?,"I want a white walls, warm wood tones, and simple clean lines that feels comfortable and well-designed.",scandinavian
What kind of materials and colors do you imagine for the space?,I want a soft lighting and warm wooden textures that feels comfortable and well-designed.,rustic
How do you want the room to feel when someone walks in?,I want a bright space with lots of natural light and soft textiles that feels comfortable and well-designed.,scandinavian
How do you want the room to feel when someone walks in?,I want a farmhouse style with vintage decor that feels comfortable and well-designed.,rustic
How would you like the room to look after the redesign?,I want a soft lighting and warm wooden textures that feels comfortable and well-designed.,rustic
What kind of materials and colors do you imagine for the space?,I want a eclectic mix of patterns and lots of plants that feels comfortable and well-designed.,boho_chic
Describe the feeling and atmosphere you want in the room.,I want a unfinished textures and visible pipes that feels comfortable and well-designed.,industrial
Describe the feeling and atmosphere you want in the room.,"I want a soft rugs, pale colors, and an open uncluttered layout that feels comfortable and well-designed.",scandinavian
What kind of materials and colors do you imagine for the space?,"I want a white walls, warm wood tones, and simple clean lines that feels comfortable and well-designed.",scandinavian
How do you want the room to feel when someone walks in?,I want a farmhouse style with vintage decor that feels comfortable and well-designed.,rustic
How would you like the room to look after the redesign?,I want a ornate elements with a timeless luxurious feel that feels comfortable and well-designed.,classic
Describe your dream version of this room.,I want a free-spirited style with mixed cultural elements that feels comfortable and well-designed.,boho_chic
How do you want the room to feel when someone walks in?,I want a ornate elements with a timeless luxurious feel that feels comfortable and well-designed.,classic
How would you like the room to look after the redesign?,"I want a rich details, symmetry, and deep elegant colors that feels comfortable and well-designed.",classic
How do you want the room to feel when someone walks in?,I want a farmhouse style with vintage decor that feels comfortable and well-designed.,rustic
How would you like the room to look after the redesign?,"I want a white walls, warm wood tones, and simple clean lines that feels comfortable and well-designed.",scandinavian
How would you like the room to look after the redesign?,I want a minimal furniture with sharp geometric shapes that feels comfortable and well-designed.,modern
Describe your dream version of this room.,I want a neutral colors with a focus on practicality that feels comfortable and well-designed.,modern
Describe the feeling and atmosphere you want in the room.,I want a eclectic mix of patterns and lots of plants that feels comfortable and well-designed.,boho_chic
How would you like the room to look after the redesign?,I want a rich colors and layered ethnic textiles that feels comfortable and well-designed.,boho_chic
Describe the feeling and atmosphere you want in the room.,I want a handcrafted furniture and a homey feeling that feels comfortable and well-designed.,rustic
Describe the feeling and atmosphere you want in the room.,I want a rugged materials and bold industrial lighting that feels comfortable and well-designed.,industrial
What kind of materials and colors do you imagine for the space?,"I want a soft rugs, pale colors, and an open uncluttered layout that feels comfortable and well-designed.",scandinavian
Describe the feeling and atmosphere you want in the room.,I want a airy feeling with neutral colors and cozy fabrics that feels comfortable and well-designed.,scandinavian
How do you want the room to feel when someone walks in?,"I want a rich details, symmetry, and deep elegant colors that feels comfortable and well-designed.",classic
Describe the feeling and atmosphere you want in the room.,I want a soft lighting and warm wooden textures that feels comfortable and well-designed.,rustic
How do you want the room to feel when someone walks in?,I want a eclectic mix of patterns and lots of plants that feels comfortable and well-designed.,boho_chic
Describe your dream version of this room.,I want a natural wood and warm earthy colors that feels comfortable and well-designed.,rustic
Describe your dream version of this room.,I want a bright space with lots of natural light and soft textiles that feels comfortable and well-designed.,scandinavian
What kind of materials and colors do you imagine for the space?,I want a glass and metal elements with a functional layout that feels comfortable and well-designed.,modern
Describe the feeling and atmosphere you want in the room.,I want a glass and metal elements with a functional layout that feels comfortable and well-designed.,modern
How do you want the room to feel when someone walks in?,I want a eclectic mix of patterns and lots of plants that feels comfortable and well-designed.,boho_chic
Describe the feeling and atmosphere you want in the room.,I want a minimal furniture with sharp geometric shapes that feels comfortable and well-designed.,modern
Describe the feeling and atmosphere you want in the room.,I want a rich colors and layered ethnic textiles that feels comfortable and well-designed.,boho_chic
What kind of materials and colors do you imagine for the space?,I want a bright space with lots of natural light and soft textiles that feels comfortable and well-designed.,scandinavian
What kind of materials and colors do you imagine for the space?,I want a light wood furniture and minimal decoration that feels comfortable and well-designed.,scandinavian
How would you like the room to look after the redesign?,I want a natural wood and warm earthy colors that feels comfortable and well-designed.,rustic
How do you want the room to feel when someone walks in?,I want a minimal furniture with sharp geometric shapes that feels comfortable and well-designed.,modern
How do you want the room to feel when someone walks in?,"I want a rich details, symmetry, and deep elegant colors that feels comfortable and well-designed.",classic
What kind of materials and colors do you imagine for the space?,I want a minimal furniture with sharp geometric shapes that feels comfortable and well-designed.,modern
Describe your dream version of this room.,I want a soft lighting and warm wooden textures that feels comfortable and well-designed.,rustic
How would you like the room to look after the redesign?,I want a bright space with lots of natural light and soft textiles that feels comfortable and well-designed.,scandinavian
Describe the feeling and atmosphere you want in the room.,I want a farmhouse style with vintage decor that feels comfortable and well-designed.,rustic
Describe your dream version of this room.,I want a handcrafted furniture and a homey feeling that feels comfortable and well-designed.,rustic
Describe your dream version of this room.,I want a artistic vibe with handmade decorations that feels comfortable and well-designed.,boho_chic
Describe the feeling and atmosphere you want in the room.,I want a handcrafted furniture and a homey feeling that feels comfortable and well-designed.,rustic
What kind of materials and colors do you imagine for the space?,"I want a soft rugs, pale colors, and an open uncluttered layout that feels comfortable and well-designed.",scandinavian
How would you like the room to look after the redesign?,I want a clean lines and a monochrome color palette that feels comfortable and well-designed.,modern
What kind of materials and colors do you imagine for the space?,I want a bright space with lots of natural light and soft textiles that feels comfortable and well-designed.,scandinavian
Describe the feeling and atmosphere you want in the room.,I want a rich colors and layered ethnic textiles that feels comfortable and well-designed.,boho_chic
Describe the feeling and atmosphere you want in the room.,I want a light wood furniture and minimal decoration that feels comfortable and well-designed.,scandinavian
What kind of materials and colors do you imagine for the space?,I want a clean lines and a monochrome color palette that feels comfortable and well-designed.,modern
How do you want the room to feel when someone walks in?,I want a ornate elements with a timeless luxurious feel that feels comfortable and well-designed.,classic
How do you want the room to feel when someone walks in?,I want a sleek surfaces and a clutter-free design that feels comfortable and well-designed.,modern
Describe your dream version of this room.,I want a light wood furniture and minimal decoration that feels comfortable and well-designed.,scandinavian
How do you want the room to feel when someone walks in?,I want a rugged materials and bold industrial lighting that feels comfortable and well-designed.,industrial
Describe the feeling and atmosphere you want in the room.,I want a marble surfaces and solid wood furniture that feels comfortable and well-designed.,classic
Describe your dream version of this room.,I want a natural wood and warm earthy colors that feels comfortable and well-designed.,rustic
How would you like the room to look after the redesign?,I want a handcrafted furniture and a homey feeling that feels comfortable and well-designed.,rustic
How do you want the room to feel when someone walks in?,I want a urban loft feeling with iron and wood that feels comfortable and well-designed.,industrial
Describe your dream version of this room.,I want a traditional materials and refined finishes that feels comfortable and well-designed.,classic
What kind of materials and colors do you imagine for the space?,I want a ornate elements with a timeless luxurious feel that feels comfortable and well-designed.,classic
Describe your dream version of this room.,I want a neutral colors with a focus on practicality that feels comfortable and well-designed.,modern
What kind of materials and colors do you imagine for the space?,I want a minimal furniture with sharp geometric shapes that feels comfortable and well-designed.,modern
How would you like the room to look after the redesign?,I want a rich colors and layered ethnic textiles that feels comfortable and well-designed.,boho_chic
What kind of materials and colors do you imagine for the space?,I want a soft lighting and warm wooden textures that feels comfortable and well-designed.,rustic
What kind of materials and colors do you imagine for the space?,I want a light wood furniture and minimal decoration that feels comfortable and well-designed.,scandinavian
How would you like the room to look after the redesign?,I want a urban loft feeling with iron and wood that feels comfortable and well-designed.,industrial
How do you want the room to feel when someone walks in?,"I want a soft rugs, pale colors, and an open uncluttered layout that feels comfortable and well-designed.",scandinavian
How would you like the room to look after the redesign?,I want a natural wood and warm earthy colors that feels comfortable and well-designed.,rustic
Describe the feeling and atmosphere you want in the room.,"I want a rich details, symmetry, and deep elegant colors that feels comfortable and well-designed.",classic
Describe your dream version of this room.,I want a sleek surfaces and a clutter-free design that feels comfortable and well-designed.,modern
How would you like the room to look after the redesign?,I want a exposed brick walls and raw concrete surfaces that feels comfortable and well-designed.,industrial
Describe your dream version of this room.,I want a farmhouse style with vintage decor that feels comfortable and well-designed.,rustic
How do you want the room to feel when someone walks in?,I want a airy feeling with neutral colors and cozy fabrics that feels comfortable and well-designed.,scandinavian
How would you like the room to look after the redesign?,I want a airy feeling with neutral colors and cozy fabrics that feels comfortable and well-designed.,scandinavian
Describe the feeling and atmosphere you want in the room.,I want a minimal furniture with sharp geometric shapes that feels comfortable and well-designed.,modern
Describe the feeling and atmosphere you want in the room.,I want a sleek surfaces and a clutter-free design that feels comfortable and well-designed.,modern
Describe the feeling and atmosphere you want in the room.,I want a rich colors and layered ethnic textiles that feels comfortable and well-designed.,boho_chic
How do you want the room to feel when someone walks in?,"I want a soft rugs, pale colors, and an open uncluttered layout that feels comfortable and well-designed.",scandinavian
How do you want the room to feel when someone walks in?,I want a rugged materials and bold industrial lighting that feels comfortable and well-designed.,industrial
How do you want the room to feel when someone walks in?,I want a rich colors and layered ethnic textiles that feels comfortable and well-designed.,boho_chic
Describe the feeling and atmosphere you want in the room.,I want a light wood furniture and minimal decoration that feels comfortable and well-designed.,scandinavian
Describe your dream version of this room.,I want a soft lighting and warm wooden textures that feels comfortable and well-designed.,rustic
How do you want the room to feel when someone walks in?,I want a balanced layout with decorative moldings that feels comfortable and well-designed.,classic
Describe your dream version of this room.,"I want a warm tones, pillows, and hanging greenery that feels comfortable and well-designed.",boho_chic
How do you want the room to feel when someone walks in?,I want a soft lighting and warm wooden textures that feels comfortable and well-designed.,rustic
Describe your dream version of this room.,I want a rich colors and layered ethnic textiles that feels comfortable and well-designed.,boho_chic
What kind of materials and colors do you imagine for the space?,I want a eclectic mix of patterns and lots of plants that feels comfortable and well-designed.,boho_chic
How do you want the room to feel when someone walks in?,I want a airy feeling with neutral colors and cozy fabrics that feels comfortable and well-designed.,scandinavian
Describe the feeling and atmosphere you want in the room.,I want a cozy atmosphere with nostalgic elements that feels comfortable and well-designed.,rustic
Describe your dream version of this room.,"I want a rich details, symmetry, and deep elegant colors that feels comfortable and well-designed.",classic
Describe the feeling and atmosphere you want in the room.,I want a balanced layout with decorative moldings that feels comfortable and well-designed.,classic
What kind of materials and colors do you imagine for the space?,I want a natural wood and warm earthy colors that feels comfortable and well-designed.,rustic
Describe the feeling and atmosphere you want in the room.,I want a marble surfaces and solid wood furniture that feels comfortable and well-designed.,classic
Describe your dream version of this room.,I want a neutral colors with a focus on practicality that feels comfortable and well-designed.,modern
Describe your dream version of this room.,I want a clean lines and a monochrome color palette that feels comfortable and well-designed.,modern
Describe your dream version of this room.,I want a cozy atmosphere with nostalgic elements that feels comfortable and well-designed.,rustic
Describe your dream version of this room.,I want a farmhouse style with vintage decor that feels comfortable and well-designed.,rustic
Describe the feeling and atmosphere you want in the room.,I want a light wood furniture and minimal decoration that feels comfortable and well-designed.,scandinavian
What kind of materials and colors do you imagine for the space?,I want a ornate elements with a timeless luxurious feel that feels comfortable and well-designed.,classic
How would you like the room to look after the redesign?,I want a marble surfaces and solid wood furniture that feels comfortable and well-designed.,classic
What kind of materials and colors do you imagine for the space?,"I want a white walls, warm wood tones, and simple clean lines that feels comfortable and well-designed.",scandinavian
How do you want the room to feel when someone walks in?,I want a light wood furniture and minimal decoration that feels comfortable and well-designed.,scandinavian
How do you want the room to feel when someone walks in?,I want a soft lighting and warm wooden textures that feels comfortable and well-designed.,rustic
How do you want the room to feel when someone walks in?,I want a unfinished textures and visible pipes that feels comfortable and well-designed.,industrial
What kind of materials and colors do you imagine for the space?,I want a glass and metal elements with a functional layout that feels comfortable and well-designed.,modern
Describe your dream version of this room.,I want a glass and metal elements with a functional layout that feels comfortable and well-designed.,modern
Describe your dream version of this room.,I want a free-spirited style with mixed cultural elements that feels comfortable and well-designed.,boho_chic
How do you want the room to feel when someone walks in?,I want a handcrafted furniture and a homey feeling that feels comfortable and well-designed.,rustic
How would you like the room to look after the redesign?,I want a natural wood and warm earthy colors that feels comfortable and well-designed.,rustic
How do you want the room to feel when someone walks in?,I want a ornate elements with a timeless luxurious feel that feels comfortable and well-designed.,classic
How would you like the room to look after the redesign?,I want a marble surfaces and solid wood furniture that feels comfortable and well-designed.,classic
How do you want the room to feel when someone walks in?,I want a marble surfaces and solid wood furniture that feels comfortable and well-designed.,classic
How would you like the room to look after the redesign?,"I want a warm tones, pillows, and hanging greenery that feels comfortable and well-designed.",boho_chic
What kind of materials and colors do you imagine for the space?,I want a sleek surfaces and a clutter-free design that feels comfortable and well-designed.,modern
How would you like the room to look after the redesign?,I want a clean lines and a monochrome color palette that feels comfortable and well-designed.,modern
Describe your dream version of this room.,I want a rich colors and layered ethnic textiles that feels comfortable and well-designed.,boho_chic
Describe the feeling and atmosphere you want in the room.,"I want a warm tones, pillows, and hanging greenery that feels comfortable and well-designed.",boho_chic
How would you like the room to look after the redesign?,I want a light wood furniture and minimal decoration that feels comfortable and well-designed.,scandinavian
How would you like the room to look after the redesign?,I want a artistic vibe with handmade decorations that feels comfortable and well-designed.,boho_chic
How do you want the room to feel when someone walks in?,I want a bright space with lots of natural light and soft textiles that feels comfortable and well-designed.,scandinavian
How would you like the room to look after the redesign?,"I want a soft rugs, pale colors, and an open uncluttered layout that feels comfortable and well-designed.",scandinavian
How do you want the room to feel when someone walks in?,I want a rich colors and layered ethnic textiles that feels comfortable and well-designed.,boho_chic
What kind of materials and colors do you imagine for the space?,I want a ornate elements with a timeless luxurious feel that feels comfortable and well-designed.,classic
What kind of materials and colors do you imagine for the space?,I want a sleek surfaces and a clutter-free design that feels comfortable and well-designed.,modern
What kind of materials and colors do you imagine for the space?,I want a artistic vibe with handmade decorations that feels comfortable and well-designed.,boho_chic
Describe the feeling and atmosphere you want in the room.,I want a balanced layout with decorative moldings that feels comfortable and well-designed.,classic
How would you like the room to look after the redesign?,I want a soft lighting and warm wooden textures that feels comfortable and well-designed.,rustic
Describe your dream version of this room.,I want a balanced layout with decorative moldings that feels comfortable and well-designed.,classic
How would you like the room to look after the redesign?,I want a neutral colors with a focus on practicality that feels comfortable and well-designed.,modern
How would you like the room to look after the redesign?,"quite quite I want a free-spirited boho vibe with ethnic textiles and greenery, with ethnic. It should feel feel cozy and well-organized...!!",boho_chic
How would you like the room to look after the redesign?,"I want industrial materials like concrete and iron with a gritty vibe, with unfinished, metal. It should feel comfortable and well-organized.",industrial
Describe the style you want for the room after the makeover.,"very I want simple clean lines, uncluttered surfaces, and warm light, with neutral palette, white walls. It should feel cozy and relaxed!",scandinavian
How would you like the room to look after the redesign?,"very I want an eclectic mix of patterns, rugs, and handmade decor, with ethnic, patterns, artsy. It should feel fresh and relaxed...",boho_chic
Describe the style you want for the room after the makeover.,"quite I want a calm neutral palette with soft rugs and cozy textiles, with natural light, airy. It should feel cozy and balanced!",scandinavian
"In your own words, what should the redesigned room feel like?","I   want   a   a   loft-style   room   with   iorn   iorn   details   uh   and   tones,   with   loft.   It   should   inviting   and   relaxed....   🧱",industrial
What atmosphere and look are you aiming for in this room?,"I want an eclectic mix of patterns, rugs, and handmade decor, with layered textiles, eclectic, ethnic. It should feel cozy and relaxed.",boho_chic
How would you like the room to look after the redesign?,"kind of I want farmhouse-inspired comfort with wood textures and soft lighting, with warm colors. It should feel calm and relaxed.",rustic
How would you like the room to look after the redesign?,"I want an airy, bright room with lots of natural light, with minimal, clean, neutral palette. It should feel inviting and functional!",scandinavian
"In your own words, what should the redesigned room feel like?","I want warm materials, natural finishes, and a welcoming atmosphere, with homey, vintage, nostalgic. It should feel calm and clean...",rustic
Describe the style you want for the room after the makeover.,"I I clean lines with a monochrome color scheme, with smooth surfaces, glass, meta.l meta.l It should feel czoy czoy and and well-organized. 🙂",modern
"In your own words, what should the redesigned room feel like?","kind of I watn watn neutral tones, smooth srufaces, srufaces, and practical practical furniture, with monochrome. It should feel fresh and and balanced balanced",modern
What atmosphere and look are you aiming for in this room?,"spuer spuer I want warm tones, and and plants for a boho-chic look, with mixed, rugs. rugs. It should feel cozy well-organized...... 🙂",boho_chic
What atmosphere and look are you aiming for in this room?,"I want sleek glass and metal accents with a functional layout, with metal, sleek. It should feel fresh and balanced!",modern
Tell me what the room should look and feel like once it's finished.,"I want warm tones, cushions, and plants for a a boho-chic look, layered textiles, textiles, patterns. It It should feel calm and and well-organized 💡",boho_chic
"In your own words, what should the redesigned room feel like?","I  want  a  minimalist  modern  modern  look  look  with  geometric  shapes,  with  clean  lines,  functional.  It  should  feel  feel  cozy  and  and  functional.  🙂",modern
What atmosphere and look are you aiming for in this room?,"I want raw concrete surfaces surfaces with exposed brick and metal, with dark tones, loft. should feel fresh and balanced!! 💡",industrial
What atmosphere and look are you aiming for in this room?,"I want simple clean lines, uncluttered surfaces, and warm light, with soft textiles, natural light. It should feel inviting and functional.",scandinavian
Describe the style you want for the room after the makeover.,"I want unfinished textures, visible pipes, and rugged lighting, with loft, concrete. It should feel calm and relaxed.",industrial
Tell me what the room should look and feel like once it's finished.,"I want farmhouse-inspired comfort with wood textures and soft lighting, with handcrafted, homey. It should feel inviting and clean.",rustic
Tell me what the room should look and feel like once it's finished.,"really I want traditional elegance with polished wood and classic proportions, with ornate, deep colors. It should feel calm and functional.",classic
"In your own words, what should the redesigned room feel like?","pretty I want clean lines with a monochrome color scheme, with minimal decor, glass. It should feel fresh and clean!!",modern
How would you like the room to look after the redesign?,"I want rich colors with layered textiles and lots of plants, with ethnic, patterns. It should feel inviting and clean",boho_chic
"In your own words, what should the redesigned room feel like?","I watn watn simple clean lines, uncluttered uncluttered surfaces, and wamr wamr with you know with cozy, cozy, clean, clean, white walls. walls. It shuold shuold fresh and balanced...",scandinavian
How would you like the room to look after the redesign?,"I want warm tones, cushions, and plants for a boho-chic look, with artsy, plants. It should feel calm and relaxed!!",boho_chic
Tell me what the room should look and feel like once it's finished.,"very I want industrial materials like concrete and iron with a gritty vibe, with metal, rough, unfinished. It should feel calm and clean!!",industrial
"In your own words, what should the redesigned room feel like?","I want colorful accents, mixed styles, and an artsy relaxed feel, with rugs. It should feel inviting and well-organized!!",boho_chic
How would you like the room to look after the redesign?,"I want colorful tbh accents, mixed styles, and and artsy relaxed feel, with artsy. It should feel cozy well-organized! well-organized!",boho_chic
What atmosphere and look are you aiming for in this room?,"I want traditional elegance elegance with polished wood wood and classic proportions, with ornate, elegant, It should comfortable balanced",classic
Describe the style you want for the room after the makeover.,"totally I want industrial materials like concrete and iron with a gritty vibe, with iron, loft, rough. It should feel fresh and clean...",industrial
How would you like the room to look after the redesign?,"qiute qiute I want want neutral neutral tones, smooth surfaces, and prcatical prcatical furniture, with geometric. It should kinda feel inviting balacned!! balacned!!",modern
Tell me what the room should look and feel like once it's finished.,"pretty kinda I I want want a rough urban feel with steel, steel, wood, and bold fixtures, wtih wtih iron, unfinished. It shoudl shoudl feel feel cozy and well-organized.",industrial
"In your own words, what should the redesigned room feel like?","super I want pale tones, light oak, and a cozy minimalist vibe, with clean, bright, minimal. It should feel cozy and balanced!",scandinavian
Tell me what the room should look and feel like once it's finished.,"kind of I want pale tones, light oak, and a cozy minimalist vibe, with simple, light wood, cozy. It should feel fresh and clean!!",scandinavian
What atmosphere and look are you aiming for in this room?,"kind of I want raw concrete surfaces with exposed brick and metal, with raw, metal, loft. It should feel calm and well-organized.",industrial
Describe the style you want for the room after the makeover.,"I want simple clean lines, uncluttered surfaces, and warm light, with simple, paltete, paltete, natural light. It should feel comfortable and functional! functional!",scandinavian
What atmosphere and look are you aiming for in this room?,"I want raw concrete surfaces with exposed brick and metal, with metal. It should feel inviting and balanced",industrial
What atmosphere and look are you aiming for in this room?,"I want an eclectic mix of patterns, rugs, and handmade decor, with mixed, artsy. It should feel calm and functional...",boho_chic
How would you like the room to look after the redesign?,"I want a rough urban feel with steel, wood, and bold fixtures, with dark tones, raw. It should feel cozy and relaxed!!",industrial
"In your own words, what should the redesigned room feel like?","totally I want traditional elegance with polished wood and classic proportions, with luxury. It should feel comfortable and relaxed!",classic
Tell me what the room should look and feel like once it's finished.,"I want raw concrete surfaces with exposed brick and metal, with loft, rough, pipes. It should feel comfortable and functional...",industrial
"In your own words, what should the redesigned room feel like?","pretty I want a loft-style room with iron details and dark tones, with loft, exposed brick. It should feel calm and clean!!",industrial
Describe the style you want for the room after the makeover.,"I want handcrafted furniture, warm tones, and a nostalgic touch, with natural wood, earthy, nostalgic. It should feel comfortable and functional",rustic
Describe the style you want for the room after the makeover.,"I want a calm neutral palette with soft rugs and cozy textiles, with natural light, soft textiles, neutral palette. It should feel fresh and functional!!",scandinavian
Describe the style you want for the room after the makeover.,"really I want industrial materials like concrete and iron with a gritty vibe, with exposed brick, raw, iron. It should feel fresh and relaxed...",industrial
What atmosphere and look are you aiming for in this room?,"totally I want traditional elegance with polished wood and classic proportions, with luxury, elegant, rich details. It should feel inviting and clean!",classic
